id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
79510,Female,22,1,19.0,1,< 1 Year,No,54559.0,152.0,87,0
186555,Male,57,1,18.0,0,1-2 Year,Yes,33439.0,124.0,63,0
158037,Female,64,1,28.0,0,1-2 Year,Yes,39327.0,122.0,45,0
343706,Male,52,1,41.0,1,1-2 Year,No,26536.0,124.0,161,0
137903,Female,21,1,7.0,0,< 1 Year,No,28416.0,152.0,92,0
269651,Male,59,1,28.0,0,> 2 Years,Yes,31842.0,60.0,296,0
357050,Female,48,1,40.0,0,1-2 Year,Yes,33565.0,26.0,202,0
359012,Male,43,1,28.0,0,1-2 Year,No,38786.0,15.0,261,0
112144,Male,24,1,47.0,1,< 1 Year,No,29291.0,152.0,226,0
230709,Male,47,1,0.0,0,> 2 Years,Yes,2630.0,26.0,296,0
86405,Female,58,1,28.0,0,1-2 Year,Yes,40481.0,124.0,101,0
200160,Female,26,1,15.0,1,< 1 Year,No,34706.0,152.0,232,0
101332,Male,26,1,7.0,1,< 1 Year,No,41238.0,152.0,287,0
276454,Female,25,1,49.0,0,< 1 Year,No,31345.0,152.0,71,0
345539,Female,30,1,47.0,1,< 1 Year,No,43972.0,152.0,42,0
339800,Female,45,1,28.0,0,1-2 Year,Yes,26954.0,26.0,110,0
61375,Female,64,1,14.0,1,1-2 Year,No,40671.0,124.0,37,0
316873,Female,22,1,37.0,1,< 1 Year,No,28642.0,152.0,94,0
17826,Female,35,1,8.0,1,1-2 Year,No,34327.0,4.0,109,0
24263,Male,24,1,9.0,0,< 1 Year,Yes,33906.0,152.0,77,0
200490,Male,71,1,28.0,1,1-2 Year,No,36922.0,122.0,229,0
178882,Female,77,1,28.0,0,1-2 Year,Yes,33185.0,124.0,161,0
235727,Male,22,1,41.0,1,< 1 Year,No,24560.0,160.0,53,0
97345,Female,70,1,28.0,1,1-2 Year,Yes,43438.0,26.0,222,0
364762,Male,72,1,41.0,1,1-2 Year,No,24312.0,124.0,36,0
353121,Female,20,1,43.0,1,< 1 Year,No,29353.0,160.0,89,0
285673,Male,58,1,28.0,0,> 2 Years,Yes,31221.0,122.0,249,0
238786,Male,31,1,28.0,0,< 1 Year,Yes,47920.0,124.0,218,0
148922,Male,53,1,9.0,0,1-2 Year,Yes,41587.0,124.0,179,0
132251,Female,31,1,11.0,1,1-2 Year,No,2630.0,124.0,230,0
241516,Male,50,1,28.0,1,1-2 Year,No,24379.0,124.0,241,0
123412,Male,29,1,45.0,0,< 1 Year,Yes,29644.0,151.0,172,0
16370,Male,45,1,39.0,0,> 2 Years,Yes,31104.0,25.0,177,0
341123,Female,47,1,28.0,0,1-2 Year,Yes,28900.0,26.0,147,0
359856,Male,31,1,28.0,0,1-2 Year,Yes,63625.0,60.0,37,0
322260,Female,23,1,37.0,0,< 1 Year,Yes,32765.0,152.0,223,0
129430,Male,27,1,17.0,1,< 1 Year,No,31005.0,152.0,256,0
22299,Female,71,1,32.0,1,1-2 Year,No,2630.0,26.0,288,0
185312,Female,59,1,28.0,1,1-2 Year,No,37862.0,26.0,64,0
125290,Male,24,1,36.0,1,< 1 Year,No,37663.0,152.0,59,0
301477,Female,26,1,8.0,1,< 1 Year,No,57672.0,152.0,187,0
28581,Male,25,1,15.0,0,< 1 Year,Yes,34334.0,152.0,274,0
4265,Male,44,1,28.0,0,1-2 Year,Yes,50521.0,139.0,168,0
175462,Male,79,1,28.0,0,1-2 Year,Yes,33335.0,26.0,136,0
340206,Female,30,1,21.0,1,< 1 Year,No,25264.0,152.0,267,0
293708,Female,47,1,46.0,0,1-2 Year,Yes,28186.0,124.0,120,0
236294,Male,43,1,19.0,1,1-2 Year,No,41031.0,124.0,45,0
289716,Male,30,1,50.0,0,1-2 Year,Yes,33625.0,154.0,167,0
179998,Male,45,1,24.0,0,1-2 Year,Yes,28690.0,150.0,15,0
126466,Male,24,1,28.0,1,< 1 Year,No,2630.0,152.0,157,0
377523,Male,24,1,21.0,1,< 1 Year,No,30595.0,152.0,108,0
28609,Female,75,1,15.0,0,1-2 Year,Yes,46254.0,14.0,264,0
363199,Male,44,1,28.0,1,1-2 Year,Yes,36830.0,124.0,167,0
86865,Male,32,1,33.0,0,< 1 Year,Yes,61507.0,124.0,81,0
207937,Female,69,1,28.0,0,> 2 Years,Yes,36936.0,26.0,122,0
310620,Female,38,1,30.0,0,1-2 Year,Yes,2630.0,124.0,32,0
231493,Female,45,1,28.0,0,1-2 Year,Yes,39466.0,55.0,64,0
80049,Female,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,252,0
337712,Male,65,1,41.0,0,> 2 Years,Yes,47508.0,124.0,110,0
279895,Male,45,1,50.0,0,1-2 Year,No,27245.0,150.0,210,0
371849,Male,30,1,9.0,1,1-2 Year,No,23999.0,26.0,216,0
192835,Male,21,1,37.0,0,< 1 Year,Yes,33502.0,160.0,124,0
139613,Male,24,1,28.0,1,1-2 Year,No,47999.0,157.0,180,0
128636,Female,21,1,12.0,0,< 1 Year,No,21236.0,152.0,51,0
244412,Male,23,1,3.0,1,< 1 Year,No,19704.0,160.0,28,0
197896,Female,65,1,0.0,0,> 2 Years,Yes,2630.0,26.0,151,0
7272,Female,27,1,28.0,1,< 1 Year,No,39187.0,152.0,250,0
286193,Male,51,1,28.0,0,1-2 Year,Yes,66215.0,26.0,277,0
155301,Male,33,1,36.0,1,< 1 Year,No,38390.0,152.0,259,0
346367,Female,20,1,36.0,0,< 1 Year,Yes,41176.0,160.0,243,0
87635,Male,56,1,28.0,0,1-2 Year,Yes,30292.0,26.0,65,0
170074,Male,74,1,0.0,0,1-2 Year,Yes,2630.0,26.0,179,0
136081,Male,42,1,35.0,1,1-2 Year,No,24190.0,124.0,73,0
183201,Male,20,1,34.0,1,< 1 Year,No,2630.0,160.0,167,0
80497,Female,23,1,29.0,1,< 1 Year,No,29418.0,152.0,117,0
312528,Female,25,1,8.0,1,< 1 Year,No,31243.0,160.0,277,0
183864,Male,54,1,50.0,0,1-2 Year,Yes,29559.0,8.0,183,0
256556,Female,25,1,18.0,0,< 1 Year,Yes,32391.0,152.0,202,0
18647,Male,25,1,28.0,0,< 1 Year,Yes,35506.0,152.0,169,0
188445,Female,52,1,28.0,0,> 2 Years,Yes,40952.0,26.0,170,0
285434,Female,64,1,28.0,1,1-2 Year,No,37560.0,25.0,68,0
202936,Female,24,1,3.0,0,< 1 Year,Yes,2630.0,152.0,228,0
246706,Male,27,1,11.0,1,< 1 Year,No,23992.0,152.0,47,0
311202,Female,39,1,28.0,0,1-2 Year,Yes,52259.0,24.0,179,0
206025,Male,56,1,10.0,0,1-2 Year,No,33893.0,26.0,216,0
243504,Male,47,1,29.0,1,1-2 Year,No,2630.0,135.0,105,0
187998,Male,20,1,28.0,0,< 1 Year,Yes,55490.0,160.0,261,0
209846,Female,23,1,8.0,0,< 1 Year,Yes,2630.0,160.0,135,0
116397,Female,22,1,15.0,0,< 1 Year,Yes,37608.0,152.0,42,0
77448,Female,42,1,41.0,0,1-2 Year,No,2630.0,124.0,18,0
303227,Female,29,1,4.0,0,1-2 Year,Yes,2630.0,156.0,107,0
149396,Male,42,1,46.0,0,1-2 Year,Yes,30027.0,124.0,284,0
28992,Male,29,1,46.0,0,< 1 Year,Yes,32705.0,124.0,168,0
187866,Female,26,1,35.0,1,< 1 Year,No,30173.0,152.0,206,0
130565,Female,23,1,21.0,1,< 1 Year,No,24548.0,152.0,160,0
